Key,Item.Type,Publication.Year,Author,Title,Publication.Title,ISBN,ISSN,DOI,Url,Abstract.Note,Date,Date.Added,Date.Modified,Access.Date,Pages,Num.Pages,Issue,Volume,Number.Of.Volumes,Journal.Abbreviation,Short.Title,Series,Series.Number,Series.Text,Series.Title,Publisher,Place,Language,Rights,Type,Archive,Archive.Location,Library.Catalog,Call.Number,Extra,Notes,File.Attachments,Link.Attachments,Manual.Tags,Automatic.Tags,Editor,Series.Editor,Translator,Contributor,Attorney.Agent,Book.Author,Cast.Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed.Author,Scriptwriter,Words.By,Guest,Number,Edition,Running.Time,Scale,Medium,Artwork.Size,Filing.Date,Application.Number,Assignee,Issuing.Authority,Country,Meeting.Name,Conference.Name,Court,References,Reporter,Legal.Status,Priority.Numbers,Programming.Language,Version,System,Code,Code.Number,Section,Session,Committee,History,Legislative.Body,Screen,Reason,Comment,Screen.Name
XVLF4JH4,journalArticle,2005,"Singh, KP; Kushwaha, CP",Emerging paradigms of tree phenology in dry tropics,CURRENT SCIENCE,,0011-3891,,NA,"The tropical dry forests constitute a mosaic composed of several phenological functional types adapted to seasonal drought in different ways. Various functional types differ with respect to phenological timing and triggering factors, water relations, extent of deciduousness (similar to leaflessness), etc. Duration of deciduousness in tropical trees (reflecting integrated effect of seasonal drought, tree characteristics and soil moisture conditions) is related to leafing patterns and resource use rates. Vegetative and flowering phenology of trees in dry tropics is primarily affected by the periodicity of rainfall and soil water availability. Occurrence of leaf-flushing as well as flowering during summer in majority of Indian tropical trees, when drought is severe, seems to be a unique adaptation to survive under strongly seasonal climate having a short growth promoting wet period and a long growth constraining dry period. The key phenological themes that need research focus in the dry tropics are: duration of deciduousness, timing of vegetative bud break, leaf strategy, water relations, seasonal flowering types and asynchrony. Analysis of functional types based on the duration of deciduousness and timing of bud break may enable better assessment of future climate change impact. There is a need for long-term quantitative documentation of tree phenological patterns in India through a phenological station network in diverse climatie/vegetational zones.",25/09/2005,03/03/2025 20:51,03/03/2025 20:51,NA,964-975,NA,6,89,NA,NA,NA,,NA,NA,NA,,,English,NA,NA,NA,NA,NA,NA,"Place: C V RAMAN AVENUE, SADASHIVANAGAR, P B #8005, BANGALORE 560 080, INDIA Publisher: INDIAN ACAD SCIENCES Type: Review",NA,NA,NA,climate change; deciduousness; flowering types; functional types; quantitative phenology,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reject,,review ,Insert Screener Name
NQJFEQLU,journalArticle,2023,"Park, Daniel S.; Lyra, Goia M.; Ellison, Aaron M.; Maruyama, Rogerio Katsuhito Barbosa; Torquato, Debora dos Reis; Asprino, Renata C.; Cook, Benjamin I.; Davis, Charles C.",Herbarium records provide reliable phenology estimates in the understudied tropics,JOURNAL OF ECOLOGY,,0022-0477,10.1111/1365-2745.14047,NA,"Plant phenology has been shifting dramatically in response to climate change, a shift that may have significant and widespread ecological consequences. Of particular concern are tropical biomes, which represent the most biodiverse and imperilled regions of the world. However, compared to temperate floras, we know little about phenological responses of tropical plants because long-term observational datasets from the tropics are sparse. Herbarium specimens have greatly increased our phenological knowledge in temperate regions, but similar data have been underutilized in the tropics and their suitability for this purpose has not been broadly validated. Here, we compare phenological estimates derived from field observational data (i.e. plot surveys) and herbarium specimens at various spatial and taxonomic scales to determine whether specimens can provide accurate estimations of reproductive timing and its spatial variation. Here, we demonstrate that phenological estimates from field observations and herbarium specimens coincide well. Fewer than 5% of the species exhibited significant differences between flowering periods inferred from field observations versus specimens regardless of spatial aggregation. In contrast to studies based on field records, herbarium specimens sampled much larger geographic and climatic ranges, as has been documented previously for temperate plants, and effectively captured phenological responses across varied environments. Synthesis. Herbarium specimens are verified to be a vital resource for closing the gap in our phenological knowledge of tropical systems. Tropical plant reproductive phenology inferred from herbarium records is widely congruent with field observations, suggesting that they can and should be used to investigate phenological variation and their associated environmental cues more broadly across tropical biomes.",2023-02,03/03/2025 20:51,03/03/2025 20:51,NA,327-337,NA,2,111,NA,NA,NA,,NA,NA,NA,,,English,NA,NA,NA,NA,NA,NA,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",NA,NA,NA,phenology; Brazil; climate; herbaria; citizen science; field survey; natural history collections; neotropics,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accept,No reason given,No comments given,Insert Screener Name
QAKG5QXW,journalArticle,1995,"LECHOWICZ, MJ",SEASONALITY OF FLOWERING AND FRUITING IN TEMPERATE FOREST TREES,CANADIAN JOURNAL OF BOTANY-REVUE CANADIENNE DE BOTANIQUE,,0008-4026,10.1139/b95-021,NA,"The phenology of leaf presence and photosynthetic activity together set a potential limit on tree productivity in a seasonal climate; similarly, the seasonal timing of flowering and fruiting can decide tree reproductive success. The capacity for long-term storage of photosynthate appears to override any necessary functional linkage between these two critical aspects of tree phenology. Foliar and reproductive phenology in broadleaf deciduous trees of the temperate zone are only weakly coupled within a growing season, especially in precocious flowering trees that mature their fruits in early summer. In species that fruit in late summer and fall, leaf emergence and flowering can be entrained by shared responses to the progressive warming of early spring but with only limited effect on the timing of fruit maturation. The timing of foliar senescence and fruit maturation is correlated only in fall-fruiting trees but as a common response to fall climate rather than the outcome of foliar retranslocation of resources to developing fruits. The possibility exists that global climate change may disrupt these patterns of foliar and reproductive phenology, but the magnitude of the effect will depend on the poorly studied balance of thermal versus photoperiodic cues for phenological events.",1995-02,03/03/2025 20:51,03/03/2025 20:51,NA,175-182,NA,2,73,NA,NA,NA,,NA,NA,NA,,,English,NA,NA,NA,NA,NA,NA,"Place: RESEARCH JOURNALS, MONTREAL RD, OTTAWA ON K1A 0R6, CANADA Publisher: NATL RESEARCH COUNCIL CANADA Type: Article; Proceedings Paper",NA,NA,NA,PHENOLOGY; BUD BURST; GLOBAL CLIMATE CHANGE; LEAF SENESCENCE; SEED DISPERSAL,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accept,No reason given,maybe,Insert Screener Name
R72GXVR3,journalArticle,2017,"Chen, Xiaoqiu; Wang, Lingxiao; Inouye, David",Delayed response of spring phenology to global warming in subtropics and tropics,AGRICULTURAL AND FOREST METEOROLOGY,,0168-1923,10.1016/j.agrformet.2017.01.002,NA,"Climate drivers of plant phenology in the subtropics and tropics are still unclear, which significantly hinders accurate prediction of climate change impacts on vegetation growth and carbon balance in these unique ecoregions. The basic hypothesis of process-based phenology models is that spring tree phenology is regulated by temperature and triggered by chilling temperatures during the dormancy period, followed by forcing temperatures during the growth period. That is, trees require cool temperatures during a chilling period to break endodormancy, and then enter the phase of ecodormancy during which the rate of ontogenetic development increases with increasing air temperature. Therefore, insufficient chilling requirements may slow bud growth and consequently delay budburst. Many studies have shown that chilling requirement is at present sufficient to release bud dormancy fully in temperate regions, and thus forcing temperatures play a dominant role in triggering spring tree phenology. To identify differences in mechanisms of spring tree phenology responses to air temperature between the subtropics/tropics and the temperate zone, and their possible effects on future phenological trends under global warming, we used leaf unfolding and flowering data from a tree species of tropical origin, Melia azedarach, and output daily mean air temperature data from a regional climate model (HadGEM3-RA) for the period 1981-2005 at 42 stations in southeastern China to fit unified forcing and chilling phenology models. Then, we selected optimum models for each phenophase at each station. Moreover, we predicted leafing and flowering dates across the research region over 2021-2100 under global climate warming scenarios. The results show a previously unreported phenological phenomenon: chilling will often be insufficient to break bud dormancy in the northern tropical zone and may become a crucial factor limiting leafing and flowering responses to spring warming. However, chilling will still be sufficient to break bud dormancy in the warm temperate zone, and thus may not limit leafing and flowering responses to spring warming there. Consequently, predicted leafing and flowering dates both will be delayed in the northern tropical zone but will advance in the warm temperate zone from 2021 to 2100. In the subtropical zone, the effect of chilling temperature on spring phenology will be reduced gradually from earlier to later phenophases. Thus, predicted leafing and flowering dates show decreased delaying trends and increased advancing trends from earlier to later phenophases in the subtropical zone. Our findings suggest that insufficient chilling temperature accumulation during the dormancy period may counteract the forcing temperature accumulation during the growth period in the northern tropical zone and parts of the subtropical zone, resulting in delayed leafing and flowering dates. (C) 2017 Elsevier B.V. All rights reserved.",15/03/2017,03/03/2025 20:51,03/03/2025 20:51,NA,222-235,NA,,234,NA,NA,NA,,NA,NA,NA,,,English,NA,NA,NA,NA,NA,NA,"Place: RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS Publisher: ELSEVIER Type: Article",NA,NA,NA,Chilling and forcing requirement; Global warming; Leafing and flowering; Process-based phenology model; Spatiotemporal prediction,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accept,No reason given,maybe?,Insert Screener Name
U4DMZSSF,journalArticle,2024,"Sullivan, Megan K.; Fayolle, Adeline; Bush, Emma; Ofosu-Bamfo, Bismark; Vleminckx, Jason; Metz, Margaret R.; Queenborough, Simon A.",Cascading effects of climate change: new advances in drivers and shifts of tropical reproductive phenology,PLANT ECOLOGY,,1385-0237,10.1007/s11258-023-01377-3,NA,"Tropical forests were long viewed as relatively stable systems, with little biologically important variation in climate. However, in recent years, accumulating evidence has suggested that tropical forests vary widely both in climate and phenology, that climate and phenology are inextricably linked, and that tropical forests increasingly display the effects of climate change. It is critically important to understand these climate-phenology interactions to be able to predict the cascading impacts on resource availability that will affect wildlife. There are many important and unanswered questions regarding how the mechanistic drivers and proximate cues of tropical forest reproductive phenology will vary in response to environmental change. Addressing these questions remains a huge challenge due to a paucity of long-term comparable data that hampers our ability to connect observed phenology patterns with fundamental theory. In this review, we highlight ten focal papers that have advanced our ability to identify phenological patterns, improved our understanding of the drivers of flowering and fruiting, and have innovatively linked fruiting patterns with impacts on wildlife diet, reproduction, and survival. We end with a call for increased collaboration among forest and wildlife ecologists, theoretical ecologists, meteorologists, and decision-makers to advance and apply phenological research in the tropics and reduce the negative impact of climate change on vital ecological functions, and services, of tropical forest ecosystems.",2024-03,03/03/2025 20:51,03/03/2025 20:51,NA,175-187,NA,3,225,NA,NA,NA,,NA,NA,NA,,,English,NA,NA,NA,NA,NA,NA,"Place: VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS Publisher: SPRINGER Type: Article",NA,NA,NA,Climate change; Phenology; Cue; Driver; Forest function; Tropical forests,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reject,No reason given,just a review ,Insert Screener Name
542FBCFT,journalArticle,1998,"Corlett, RT; LaFrankie, JV",Potential impacts of climate change on tropical Asian forests through an influence on phenology,CLIMATIC CHANGE,,0165-0009,10.1023/A:1005328124567,NA,"Changes in plant phenology will be one of the earliest responses to rapid global climate change and could potentially have serious consequences both for plants and for animals that depend on periodically available plant resources. Phenological patterns are most diverse and least understood in the tropics. In those parts of tropical Asia where low temperature or drought impose a seasonal rest period, regular annual cycles of growth and reproduction predominate at the individual, population, and community level. In aseasonal areas, individuals and populations show a range of sub- to supra-annual periodicities, with an overall supra-annual reproductive periodicity at the community level. There is no evidence for photoperiod control of phenology in the Asian tropics, and seasonal changes in temperature are a likely factor only near the northern margins. An opportunistic response to water availability is the simplest explanation for most observed patterns where water is seasonally limiting, while the great diversity of phenological patterns in the aseasonal tropics suggests an equal diversity of controls. The robustness of current phenological patterns to high interannual and spatial variability suggests that most plant species will not be seriously affected by the phenological consequences alone of climate change. However, some individual plant species may suffer, and the consequences of changes in plant phenology for flower- and fruit-dependent animals in fragmented forests could be serious.",1998-07,03/03/2025 20:51,03/03/2025 20:51,NA,439-453,NA,02-Mar,39,NA,NA,NA,,NA,NA,NA,,,English,NA,NA,NA,NA,NA,NA,"Backup Publisher: World Wildlife Fund; Int Inst Trop Forestry Place: VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS Publisher: SPRINGER Type: Article; Proceedings Paper",NA,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accept,No reason given,maybe? ,Insert Screener Name
VDSHDIFY,journalArticle,2023,"Vogado, Nara; Laurance, Susan G.; Liddell, Michael J.; Engert, Jayden E.; Wurster, Christopher M.; Schiffer, Michele; Thompson, Andrew; Nichols, Cassandra; Cernusak, Lucas A.",Assessing the effects of a drought experiment on the reproductive phenology and ecophysiology of a wet tropical rainforest community,CONSERVATION PHYSIOLOGY,,2051-1434,10.1093/conphys/coad064,NA,"In this study we assessed the effects of an experimental drought on the reproductive phenology and ecophysiology of a rainforest tree community in the Wet Tropics of Queensland. We found that, although the drought increased fruiting activity in the community relative to the reference plot, species-level response was varied in both phenology and physiology. Climate change is expected to increase the intensity and occurrence of drought in tropical regions, potentially affecting the phenology and physiology of tree species. Phenological activity may respond to a drying and warming environment by advancing reproductive timing and/or diminishing the production of flowers and fruits. These changes have the potential to disrupt important ecological processes, with potentially wide-ranging effects on tropical forest function. Here, we analysed the monthly flowering and fruiting phenology of a tree community (337 individuals from 30 species) over 7 years in a lowland tropical rainforest in northeastern Australia and its response to a throughfall exclusion drought experiment (TFE) that was carried out from 2016 to 2018 (3 years), excluding approximately 30% of rainfall. We further examined the ecophysiological effects of the TFE on the elemental (C:N) and stable isotope (& delta;13C and & delta;15N) composition of leaves, and on the stable isotope composition (& delta;13C and & delta;18O) of stem wood of four tree species. At the community level, there was no detectable effect of the TFE on flowering activity overall, but there was a significant effect recorded on fruiting and varying responses from the selected species. The reproductive phenology and physiology of the four species examined in detail were largely resistant to impacts of the TFE treatment. One canopy species in the TFE significantly increased in fruiting and flowering activity, whereas one understory species decreased significantly in both. There was a significant interaction between the TFE treatment and season on leaf C:N for two species. Stable isotope responses were also variable among species, indicating species-specific responses to the TFE. Thus, we did not observe consistent patterns in physiological and phenological changes in the tree community within the 3 years of TFE treatment examined in this study.",01/01/2023,03/03/2025 20:51,03/03/2025 20:51,NA,,NA,1,11,NA,NA,NA,,NA,NA,NA,,,English,NA,NA,NA,NA,NA,NA,"Place: GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND Publisher: OXFORD UNIV PRESS Type: Article",NA,NA,NA,flowering; drought; Climate change; fruiting; stable isotopes; water use efficiency; Wet Tropics,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accept,No reason given,No comments given,Insert Screener Name
A59ZE83E,journalArticle,2019,"Du, Yanjun; Pan, Yuanqi; Ma, Keping",Moderate chilling requirement controls budburst for subtropical species in China,AGRICULTURAL AND FOREST METEOROLOGY,,0168-1923,10.1016/j.agrformet.2019.107693,NA,"It is well known that spring phenology has advanced in temperate regions over the last few decades in response to climate change. However, we understand much less about climate-driven changes in phenology within subtropical and tropical regions, where the timing of events is less predictable and has not been well-studied. It is not known whether subtropical plants have a similar winter chilling requirement to what has been well-documented in temperate species. To explore this possibility, we established a climate chamber experiment to test the effects of photoperiod and chilling on the timing of budburst within 37 subtropical woody species. We found that both moderate and strong chilling treatments advanced budburst and reduced forcing requirements, relative to plants subjected to a low chilling treatment. Longer photoperiod enhanced budburst rate for only two species, suggesting that chilling is more important for regulating budburst for most species. With respect to future climate change, the spring phenology of subtropical species is expected to be delayed further because species could lack the ability to meet their fundamental chilling requirement. These results have important implications for the conservation and management of tropical and subtropical plant populations under future climate change scenarios.",15/11/2019,03/03/2025 20:51,03/03/2025 20:51,NA,,NA,,278,NA,NA,NA,,NA,NA,NA,,,English,NA,NA,NA,NA,NA,NA,"Place: RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS Publisher: ELSEVIER Type: Article",NA,NA,NA,Climate change; Phenology; Evergreen species; Budburst; Chilling; Twig cutting experiment,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accept,No reason given,hmm chilling? ,Insert Screener Name
53JXIY4D,journalArticle,2021,"Sandor, Manette E.; Aslan, Clare E.; Pejchar, Liba; Bronstein, Judith L.",A Mechanistic Framework for Understanding the Effects of Climate Change on the Link Between Flowering and Fruiting Phenology,FRONTIERS IN ECOLOGY AND EVOLUTION,,2296-701X,10.3389/fevo.2021.752110,NA,"Phenological shifts are a widely studied consequence of climate change. Little is known, however, about certain critical phenological events, nor about mechanistic links between shifts in different life-history stages of the same organism. Among angiosperms, flowering times have been observed to advance with climate change, but, whether fruiting times shift as a direct consequence of shifting flowering times, or respond differently or not at all to climate change, is poorly understood. Yet, shifts in fruiting could alter species interactions, including by disrupting seed dispersal mutualisms. In the absence of long-term data on fruiting phenology, but given extensive data on flowering, we argue that an understanding of whether flowering and fruiting are tightly linked or respond independently to environmental change can significantly advance our understanding of how fruiting phenologies will respond to warming climates. Through a case study of biotically and abiotically dispersed plants, we present evidence for a potential functional link between the timing of flowering and fruiting. We then propose general mechanisms for how flowering and fruiting life history stages could be functionally linked or independently driven by external factors, and we use our case study species and phenological responses to distinguish among proposed mechanisms in a real-world framework. Finally, we identify research directions that could elucidate which of these mechanisms drive the timing between subsequent life stages. Understanding how fruiting phenology is altered by climate change is essential for all plant species but is particularly critical to sustaining the large numbers of plant species that rely on animal-mediated dispersal, as well as the animals that rely on fruit for sustenance.",06/12/2021,03/03/2025 20:51,03/03/2025 20:51,NA,,NA,,9,NA,NA,NA,,NA,NA,NA,,,English,NA,NA,NA,NA,NA,NA,"Place: AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND Publisher: FRONTIERS MEDIA SA Type: Article",NA,NA,NA,flowering; fruiting; seed dispersal; global change; life history stages; phenological shifts,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accept,No reason given,maybe,Insert Screener Name
9BW35VM4,journalArticle,2020,"Ouedraogo, Dakis-Yaoba; Hardy, Olivier J.; Doucet, Jean-Louis; Janssens, Steven B.; Wieringa, Jan J.; Stoffelen, Piet; Angoboy Ilondea, Bhely; Baya, Fidele; Beeckman, Hans; Dainou, Kasso; Dubiez, Emilien; Gourlet-Fleury, Sylvie; Fayolle, Adeline",Latitudinal shift in the timing of flowering of tree species across tropical Africa: insights from field observations and herbarium collections,JOURNAL OF TROPICAL ECOLOGY,,0266-4674,10.1017/S0266467420000103,NA,"Temporal and spatial patterns in flowering phenology were assessed for eight tropical African tree species. Specifically, the frequency and seasonality of flowering at seven sites in central Africa were determined using field data, graphical analysis and circular statistics. Additionally, spatial variation in the timing of flowering across species range was investigated using herbarium data, analysing the relative influence of latitude, longitude and timing of the dry season with a Bayesian circular generalized linear model. Annual flowering was found for 20 out of the 25 populations studied. For 21 populations located at the north of the climatic hinge flowering was occurring during the dry season. The analysis of herbarium collections revealed a significant shift in the timing of flowering with latitude for E. suaveolens, and with the timing of the dry season for M. excelsa (and to a lesser extent L. alata), with the coexistence of two flowering peaks near the equator where the distribution of monthly rainfall is bimodal. For the other species, none of latitude, longitude or timing of the dry season had an effect on the timing of flowering. Our study highlights the need to identify the drivers of the flowering phenology of economically important African tree species.",2020-07,03/03/2025 20:51,03/03/2025 20:51,NA,159-173,NA,4,36,NA,NA,NA,,NA,NA,NA,,,English,NA,NA,NA,NA,NA,NA,"Place: 32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA Publisher: CAMBRIDGE UNIV PRESS Type: Article",NA,NA,NA,Climatic hinge; dry season; flowering; herbarium specimen; rainfall; reproductive phenology; timber species,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Accept,No reason given,No comments given,Insert Screener Name
