Key,Item.Type,Publication.Year,Author,Title,Publication.Title,ISBN,ISSN,DOI,Outcome(s),Effect Size Reported? (Y/N),Effect Size Type,Data for Calculation,,Notes,,,
NQJFEQLU,journalArticle,2023,"Park, Daniel S.; Lyra, Goia M.; Ellison, Aaron M.; Maruyama, Rogerio Katsuhito Barbosa; Torquato, Debora dos Reis; Asprino, Renata C.; Cook, Benjamin I.; Davis, Charles C.",A Mechanistic Framework for Understanding the Effects of Climate Change on the Link Between Flowering and Fruiting Phenology,JOURNAL OF ECOLOGY,,0022-0477,10.1111/1365-2745.14047,,,,,,No actual data,,,
QAKG5QXW,journalArticle,1995,"LECHOWICZ, MJ",An ecological transcriptome approach to capture the molecular and physiological mechanisms of mass flowering in<i> Shorea</i> <i>curtisii</i>,CANADIAN JOURNAL OF BOTANY-REVUE CANADIENNE DE BOTANIQUE,,0008-4026,10.1139/b95-021,,,,,,Didn’t actually look at phenology,,,
R72GXVR3,journalArticle,2017,"Chen, Xiaoqiu; Wang, Lingxiao; Inouye, David",Assessing the effects of a drought experiment on the reproductive phenology and ecophysiology of a wet tropical rainforest community,AGRICULTURAL AND FOREST METEOROLOGY,,0168-1923,10.1016/j.agrformet.2017.01.002,,,,,,Not quite right data ,,,
542FBCFT,journalArticle,1998,"Corlett, RT; LaFrankie, JV",Cascading effects of climate extremes on vertebrate fauna through changes to low-latitude tree flowering and fruiting phenology,CLIMATIC CHANGE,,0165-0009,10.1023/A:1005328124567,,,,,,No actual data,,,
VDSHDIFY,journalArticle,2023,"Vogado, Nara; Laurance, Susan G.; Liddell, Michael J.; Engert, Jayden E.; Wurster, Christopher M.; Schiffer, Michele; Thompson, Andrew; Nichols, Cassandra; Cernusak, Lucas A.",Chilling and heat requirements for flowering in temperate fruit trees,CONSERVATION PHYSIOLOGY,,2051-1434,10.1093/conphys/coad064,,,,,,,,,
A59ZE83E,journalArticle,2019,"Du, Yanjun; Pan, Yuanqi; Ma, Keping",Climate Change Affects Reproductive Phenology in Lianas of Australia's Wet Tropics,Amou,,0168-1923,10.1016/j.agrformet.2019.107693,,,,,,Amount of flowering not timing,,,
,journalArticle,2021,"Sandor, Manette E.; Aslan, Clare E.; Pejchar, Liba; Bronstein, Judith L.",Delayed response of spring phenology to global warming in subtropics and tropics,FRONTIERS IN ECOLOGY AND EVOLUTION,,2296-701X,10.3389/fevo.2021.752110,,,,,,Looked at what triggered flowering ,,,
9BW35VM4,journalArticle,2020,"Ouedraogo, Dakis-Yaoba; Hardy, Olivier J.; Doucet, Jean-Louis; Janssens, Steven B.; Wieringa, Jan J.; Stoffelen, Piet; Angoboy Ilondea, Bhely; Baya, Fidele; Beeckman, Hans; Dainou, Kasso; Dubiez, Emilien; Gourlet-Fleury, Sylvie; Fayolle, Adeline",Development of Peach Flower Buds under Low Winter Chilling Conditions,JOURNAL OF TROPICAL ECOLOGY,,0266-4674,10.1017/S0266467420000103,,,,,,,,,
7FYWX8LX,journalArticle,2013,"Couralet, C.; Van den Bulcke, J.; Ngoma, L. M.; Van Acker, J.; Beeckman, H.",Differences on flowering phenology under Mediterranean and Subtropical environments for two representative olive cultivars,JOURNAL OF TROPICAL FOREST SCIENCE,,0128-1283,,,,,,,,,,
QFCJJSKJ,journalArticle,2022,"Vogado, Nara O.; Engert, Jayden E.; Linde, Tore L.; Campbell, Mason J.; Laurance, William F.; Liddell, Michael J.",Differential resilience to extreme climate events of tree phenology and cavity resources in tropical dry forest: Cascading effects on a threatened species,FRONTIERS IN FORESTS AND GLOBAL CHANGE,,,10.3389/ffgc.2022.787950,,,,,,,,,
