Key,Item Type,Publication.Year,Author,Title,Publication.Title,ISBN,ISSN,DOI,Url,Abstract.Note,Date,Date.Added,Date.Modified,Access.Date,Pages,Num.Pages,Issue,Volume,Number.Of.Volumes,Journal.Abbreviation,Short.Title,Series,Series.Number,Series.Text,Series.Title,Publisher,Place,Language,Rights,Type,Archive,Archive.Location,Library.Catalog,Call.Number,Extra,Notes,File.Attachments,Link.Attachments,Manual.Tags,Automatic.Tags,Editor,Series.Editor,Translator,Contributor,Attorney.Agent,Book.Author,Cast.Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed.Author,Scriptwriter,Words.By,Guest,Number,Edition,Running.Time,Scale,Medium,Artwork.Size,Filing.Date,Application.Number,Assignee,Issuing.Authority,Country,Meeting.Name,Conference.Name,Court,References,Reporter,Legal.Status,Priority.Numbers,Programming.Language,Version,System,Code,Code.Number,Section,Session,Committee,History,Legislative.Body
KRKCHEPW,journalArticle,2005,"Singh, KP; Kushwaha, CP",Emerging paradigms of tree phenology in dry tropics,CURRENT SCIENCE,,0011-3891,,,"The tropical dry forests constitute a mosaic composed of several phenological functional types adapted to seasonal drought in different ways. Various functional types differ with respect to phenological timing and triggering factors, water relations, extent of deciduousness (similar to leaflessness), etc. Duration of deciduousness in tropical trees (reflecting integrated effect of seasonal drought, tree characteristics and soil moisture conditions) is related to leafing patterns and resource use rates. Vegetative and flowering phenology of trees in dry tropics is primarily affected by the periodicity of rainfall and soil water availability. Occurrence of leaf-flushing as well as flowering during summer in majority of Indian tropical trees, when drought is severe, seems to be a unique adaptation to survive under strongly seasonal climate having a short growth promoting wet period and a long growth constraining dry period. The key phenological themes that need research focus in the dry tropics are: duration of deciduousness, timing of vegetative bud break, leaf strategy, water relations, seasonal flowering types and asynchrony. Analysis of functional types based on the duration of deciduousness and timing of bud break may enable better assessment of future climate change impact. There is a need for long-term quantitative documentation of tree phenological patterns in India through a phenological station network in diverse climatie/vegetational zones.",25/09/2005,12/02/2025 12:52,12/02/2025 12:52,,964-975,,6,89,,,,,,,,,,English,,,,,,,"Place: C V RAMAN AVENUE, SADASHIVANAGAR, P B #8005, BANGALORE 560 080, INDIA Publisher: INDIAN ACAD SCIENCES Type: Review",,,,climate change; deciduousness; flowering types; functional types; quantitative phenology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LS7UGB3S,journalArticle,2008,"Guenter, Sven; Stimm, Bernd; Cabrera, Manuel; Diaz, Maria Luisa; Lojan, Manuel; Ordonez, Eduardo; Richter, Michael; Weber, Michael","Tree phenology in montane forests of southern Ecuador can be explained by precipitation, radiation and photoperiodic control",JOURNAL OF TROPICAL ECOLOGY,,0266-4674,10.1017/S0266467408005063,,"We investigated the effect of seasonality on tree phenology in the tropical montane rain forest of southern Ecuador and analysed possible triggering factors. Two hypotheses were tested: (1) Interspecific synchronization of flowering and fruiting phenology is higher at study sites with pronounced rainfall seasonality compared with sites within perhumid forests. (2) Proximate causes for flowering in closely situated seasonal and perhumid sites are either photoperiodicity or climatic factors. Two nearby study sites with contrasting precipitation patterns were selected at the same altitude east and west of the western Cordillera. Eighty trees from 13 species were observed over a 2.5-y period. Three species were common to both study sites. Phenological and climate data were collected and cross-correlated by conducting a time-series analysis. At the perhumid site, very clear annual patterns of phenological behaviour could be observed for most of the selected rain-forest tree species, but with a poor interspecific synchronization. On the nearby seasonal site in contrast, most species showed high synchrony in their phenological behaviour coinciding with the dry season. There is strong evidence that flowering is induced not by one factor alone: we identified photoperiodic control, radiation and precipitation as possible proximate causes for both sites. Our results confirm studies which state that these factors are closely linked to each other in the tropics.",2008-05,12/02/2025 12:52,12/02/2025 12:52,,247-258,,3,24,,,,,,,,,,English,,,,,,,"Place: 32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA Publisher: CAMBRIDGE UNIV PRESS Type: Article",,,,ecuador; mountain ecosystem; regional variation; seasonality; South America; tree phenology; tropical rain forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5YI2FC3G,journalArticle,2020,"Ouedraogo, Dakis-Yaoba; Hardy, Olivier J.; Doucet, Jean-Louis; Janssens, Steven B.; Wieringa, Jan J.; Stoffelen, Piet; Angoboy Ilondea, Bhely; Baya, Fidele; Beeckman, Hans; Dainou, Kasso; Dubiez, Emilien; Gourlet-Fleury, Sylvie; Fayolle, Adeline",Latitudinal shift in the timing of flowering of tree species across tropical Africa: insights from field observations and herbarium collections,JOURNAL OF TROPICAL ECOLOGY,,0266-4674,10.1017/S0266467420000103,,"Temporal and spatial patterns in flowering phenology were assessed for eight tropical African tree species. Specifically, the frequency and seasonality of flowering at seven sites in central Africa were determined using field data, graphical analysis and circular statistics. Additionally, spatial variation in the timing of flowering across species range was investigated using herbarium data, analysing the relative influence of latitude, longitude and timing of the dry season with a Bayesian circular generalized linear model. Annual flowering was found for 20 out of the 25 populations studied. For 21 populations located at the north of the climatic hinge flowering was occurring during the dry season. The analysis of herbarium collections revealed a significant shift in the timing of flowering with latitude for E. suaveolens, and with the timing of the dry season for M. excelsa (and to a lesser extent L. alata), with the coexistence of two flowering peaks near the equator where the distribution of monthly rainfall is bimodal. For the other species, none of latitude, longitude or timing of the dry season had an effect on the timing of flowering. Our study highlights the need to identify the drivers of the flowering phenology of economically important African tree species.",2020-07,12/02/2025 12:52,12/02/2025 12:52,,159-173,,4,36,,,,,,,,,,English,,,,,,,"Place: 32 AVENUE OF THE AMERICAS, NEW YORK, NY 10013-2473 USA Publisher: CAMBRIDGE UNIV PRESS Type: Article",,,,Climatic hinge; dry season; flowering; herbarium specimen; rainfall; reproductive phenology; timber species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3SAPMHLJ,journalArticle,2018,"Mohandass, D.; Campbell, Mason J.; Chen, Xin-Sheng; Li, Qing-Jun","Flowering and fruiting phenology of woody trees in the tropical-seasonal rainforest, Southwestern China",CURRENT SCIENCE,,0011-3891,10.18520/cs/v114/i11/2313-2322,,"The reproductive phenology of tropical plants is potentially driven by a number of abiotic and biotic factors. However, it is still unclear as to which climatic factors and biotic interactions drive the reproductive phenology of woody trees in the tropical seasonal rainforest of Xishuangbanna region in Southwest China. We conducted observations on woody plants (including trees and shrubs) phenology between November 2004 and October 2007 at biweekly intervals in the one hectare permanent plot of tropical seasonal rainforest in Southwest China. A total of 357 individuals of 76 species (70 genera, 37 families), comprising of 59 (78%) woody trees and 17 (22%) shrub species were observed. Our results demonstrate that flowering and fruiting frequencies show slight temporal variation between years. Flowering was significantly correlated with day-length, temperature and rainfall and fruiting was significantly correlated with rainfall and temperature. This finding indicates that woody tree reproductive phenology was primarily associated with temperature and rainfall and to a lesser extent with day-length. Reproductive phenology is also linked to seasonal patterns with flowering peaking in the late dry season and fruiting peaking in the late wet season. Moreover, reproductive phenology is also significantly associated with reproductive ecological guilds such as pollination types and dispersal modes. Community reproductive phenology is associated with climatic seasonality and biotic interactions. It also suggests that seasonal phenology patterns may play a fundamental role in community reproductive success in the tropical seasonal rainforest of Xishuangbanna region of Southwest China.",10/06/2018,12/02/2025 12:52,12/02/2025 12:52,,2313-2322,,11,114,,,,,,,,,,English,,,,,,,"Place: C V RAMAN AVENUE, SADASHIVANAGAR, P B #8005, BANGALORE 560 080, INDIA Publisher: INDIAN ACAD SCIENCES Type: Article",,,,Biotic factors; climatic variables; plant phenology; seasonal patterns; south China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WIBL5DVG,journalArticle,2020,"Du, Yanjun; Li, Danfeng; Yang, Xiaobo; Peng, Danxiao; Tang, Xinran; Liu, Hui; Li, Donghai; Hong, Xiaojiang; Song, Xiqiang",Reproductive phenology and its drivers in a tropical rainforest national park in China: Implications for Hainan gibbon (<i>Nomascus hainanus</i>) conservation,GLOBAL ECOLOGY AND CONSERVATION,,,10.1016/j.gecco.2020.e01317,,"Reproductive plant phenology, such as the seasonal timing of flowering or fruiting, influences many aspects of tropical forest communities, but there are few studies examining potential drivers of phenological patterns, especially in south China. We explored phenological patterns in Hainan Tropical Rainforest National Park (HNNP) in China and their major climatic and biotic drivers, based on phenological and distribution data for >2000 species from the Flora of Hainan. Specifically, we address the following questions: (1) What are the phenological patterns for all species in HNNP and for Hainan gibbon food plants only? (2) What are the environmental drivers of reproductive phenology? (3) Whether the flowering and fruiting dates are phylogenetic conserved? (4) Does reproductive phenology vary with functional groups, like growth forms, pollination modes and fruit types? Our results show flowering peaks in late spring and early summer, while fruiting phenology was concentrated during late summer and fall. Closely related species tend to have similar flowering and fruiting dates. The number of flowering species was primary controlled by mean maximum monthly temperature while minimum monthly temperature was the most important variable in shaping fruiting patterns of all species. For fruiting of gibbon food plants, mean monthly precipitation was the most important variable. Our study found January to May was food shortage period, which has important implications for Hainan gibbon conservation. We should take targeted ecological restoration by planting gibbon food species with phenologies between January and May, and take targeted provisioning to attract gibbons into a new habitat by providing fruits between January and May. (C) 2020 The Author(s). Published by Elsevier B.V.",2020-12,12/02/2025 12:52,12/02/2025 12:52,,,,,24,,,,,,,,,,English,,,,,,,"Place: RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS Publisher: ELSEVIER Type: Article",,,,Ecological restoration; Flora of Hainan; Flowering phenology; Fruiting phenology; Hainan tropical rainforest national park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L5JCWZPQ,journalArticle,2019,"Wright, S. Joseph; Calderon, Osvaldo; Muller-Landau, Helene C.",A phenology model for tropical species that flower multiple times each year,ECOLOGICAL RESEARCH,,0912-3814,10.1111/1440-1703.1017,,"Phenology models developed for temperate and boreal plants predict a single, population-level first flowering date for each year. These models cannot accommodate species that flower multiple times each year in humid tropical forests nor flowering data with census-interval rather than daily temporal resolution. Here, we present a new model framework able to predict the timing of multiple annual flowering events from census data. We extend a recent model, which predicted tropical flowering probabilities as discrete events occurring on census dates, by integrating predicted flowering probabilities over all dates between censuses. We evaluate our model against 29 years of daily climate and weekly flowering records for Hybanthus prunifolius (Violaceae) and Handroanthus guayacan (Bignoniaceae) from Barro Colorado Island, Panama. Previous experiments demonstrate that both species flower shortly after a heavy, dry-season rain interrupts an extended dry period. Our model captures this sequence of rainfall events. Best-fit model parameters are consistent with previous experimental results. This match suggests the new model framework will provide novel insights for other humid tropical forest species.",2019-01,12/02/2025 12:52,12/02/2025 12:52,,20-29,,1,34,,,,,,,,,,English,,,,,,,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",,,,Barro Colorado Island; drought; proximate cue; rain flower; tropical forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35HMJGQY,journalArticle,2023,"Vogado, Nara; Laurance, Susan G.; Liddell, Michael J.; Engert, Jayden E.; Wurster, Christopher M.; Schiffer, Michele; Thompson, Andrew; Nichols, Cassandra; Cernusak, Lucas A.",Assessing the effects of a drought experiment on the reproductive phenology and ecophysiology of a wet tropical rainforest community,CONSERVATION PHYSIOLOGY,,2051-1434,10.1093/conphys/coad064,,"In this study we assessed the effects of an experimental drought on the reproductive phenology and ecophysiology of a rainforest tree community in the Wet Tropics of Queensland. We found that, although the drought increased fruiting activity in the community relative to the reference plot, species-level response was varied in both phenology and physiology. Climate change is expected to increase the intensity and occurrence of drought in tropical regions, potentially affecting the phenology and physiology of tree species. Phenological activity may respond to a drying and warming environment by advancing reproductive timing and/or diminishing the production of flowers and fruits. These changes have the potential to disrupt important ecological processes, with potentially wide-ranging effects on tropical forest function. Here, we analysed the monthly flowering and fruiting phenology of a tree community (337 individuals from 30 species) over 7 years in a lowland tropical rainforest in northeastern Australia and its response to a throughfall exclusion drought experiment (TFE) that was carried out from 2016 to 2018 (3 years), excluding approximately 30% of rainfall. We further examined the ecophysiological effects of the TFE on the elemental (C:N) and stable isotope (& delta;13C and & delta;15N) composition of leaves, and on the stable isotope composition (& delta;13C and & delta;18O) of stem wood of four tree species. At the community level, there was no detectable effect of the TFE on flowering activity overall, but there was a significant effect recorded on fruiting and varying responses from the selected species. The reproductive phenology and physiology of the four species examined in detail were largely resistant to impacts of the TFE treatment. One canopy species in the TFE significantly increased in fruiting and flowering activity, whereas one understory species decreased significantly in both. There was a significant interaction between the TFE treatment and season on leaf C:N for two species. Stable isotope responses were also variable among species, indicating species-specific responses to the TFE. Thus, we did not observe consistent patterns in physiological and phenological changes in the tree community within the 3 years of TFE treatment examined in this study.",01/01/2023,12/02/2025 12:52,12/02/2025 12:52,,,,1,11,,,,,,,,,,English,,,,,,,"Place: GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND Publisher: OXFORD UNIV PRESS Type: Article",,,,flowering; drought; Climate change; fruiting; stable isotopes; water use efficiency; Wet Tropics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5CCI5KX3,journalArticle,2013,"Couralet, C.; Van den Bulcke, J.; Ngoma, L. M.; Van Acker, J.; Beeckman, H.",PHENOLOGY IN FUNCTIONAL GROUPS OF CENTRAL AFRICAN RAINFOREST TREES,JOURNAL OF TROPICAL FOREST SCIENCE,,0128-1283,,,"A good understanding of the phenology of rainforest trees would help in anticipating ecosystem response to future global climate change. Extensive and long-term phenological observations in the tropics are rare and difficult to realise but unpublished historical records have been preserved and are of high value. Phenological data gathered between 1948 and 1957 on 3642 trees of 158 species in the rainforest reserve of Luki, Democratic Republic of Congo were analysed. Patterns of leaf shedding, flowering, fruiting and fruit dispersal were presented for three major functional groups of trees and their relationships with rainfall investigated. Annual rhythms of leaf and reproductive phenology were observed with patterns ranging from synchronous annual peaks to continuity. Over the years, positive association was found between leaf shedding and annual rainfall for shade-tolerant canopy species as well as between reproductive phenology and annual rainfall for long-lived heliophilous and shade-tolerant understorey species. Direct and indirect associations with intra-annual and supra-annual climate variations suggest that changes in environmental conditions may affect phenological patterns of tropical trees thus species interactions and ecosystem dynamics. The different leaf and reproductive phenological patterns found in different functional groups of trees promote the coexistence of numerous tree species in tropical rainforest multispecies communities. The associations between tree phenology and rainfall also reinforce the evidence for potential effects of climate variations on the ecology of Central African forests.",2013-07,12/02/2025 12:52,12/02/2025 12:52,,361-374,,3,25,,,,,,,,,,English,,,,,,,"Place: PUBLICATION UNIT, KEPONG, KUALA LUMPUR 52109, MALAYSIA Publisher: FOREST RESEARCH INST MALAYSIA Type: Article",,,,climate change; Democratic Republic of Congo; phenological rhythms; plant-climate interactions; tropical rainforest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFJPJZFQ,journalArticle,2024,"Singh, Lal Ji; Dey, Bishnu Charan; Mitra, Prashanta Kumar; Sharma, Gyan Prakash; Kushwaha, Chandra Prakash","Diversity of reproductive phenology of trees in the tropical evergreen forest of Andaman and Nicobar Islands, India",TROPICAL ECOLOGY,,0564-3295,10.1007/s42965-024-00326-z,,"The present paper describes the phenological pattern of 73 tree species from tropical zone of Andaman and Nicobar Islands (ANIs), India. The study exhibits two flowering peaks (dry season and wet season) among the studied tree species. The dry season peak flowering was immediately followed by peak fruiting during pre-monsoon dry period just prior to onset of wet season. Peak flowering in March was significantly correlated with changes in temperature, this synchronized flowering in the dry season also affects the insect's floral visits on the plant. Ripening of fruits during early wet season may offer post dispersal advantage for seeds to germinate and thereby ensuring offspring survival. The finding indicates that both temperature and rainfall strongly influence the seasonality in reproductive phenology of trees of this archipelago. The study supports the “optimal time of reproductive phenology” and suggests that a strong seasonality exists with respect to reproductive phenology (flowering and fruiting) in tree species of tropical evergreen forests of Andaman and Nicobar Islands.",2024-06,12/02/2025 12:52,12/02/2025 12:52,,201-211,,2,65,,,,,,,,,,English,,,,,,,"Place: CAMPUS, 4 CRINAN ST, LONDON, N1 9XW, ENGLAND Publisher: SPRINGERNATURE Type: Article",,,,Phenophase; Reproductive patterns; Seasonality; Tropical evergreen forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43JI2BKD,journalArticle,2022,"Vogado, Nara O.; Engert, Jayden E.; Linde, Tore L.; Campbell, Mason J.; Laurance, William F.; Liddell, Michael J.",Climate Change Affects Reproductive Phenology in Lianas of Australia's Wet Tropics,FRONTIERS IN FORESTS AND GLOBAL CHANGE,,,10.3389/ffgc.2022.787950,,"Lianas are increasing in abundance in many tropical forests. This increase can alter forest structure and decrease both carbon storage and tree diversity via antagonistic relationships between lianas and their host trees. Climate change is postulated as an underlying driver of increasing liana abundances, via increases in dry-season length, forest-disturbance events, and atmospheric CO2 concentrations; all factors thought to favour lianas. However, the impact of climate change on liana reproductive phenology, an underlying determinant of liana abundance, has been little studied, particularly outside of Neotropical forests. Over a 15-year period (2000-2014), we examined the phenological patterns of a liana community in intact rainforests of the Wet Tropics bioregion of Australia; a World Heritage Area and hotspot of floral diversity. Specifically, we assessed (1) flowering and fruiting patterns of liana species; (2) potential climate drivers of flowering and fruiting activity; and (3) the influence of El Nino-related climatic disturbances on liana phenology. We found that flowering and fruiting of the studied liana species increased over time. Liana reproduction, moreover, rose in apparent response to higher temperatures and reduced rainfall. Finally, we found flowering and fruiting of the liana species increased following El Nino events. These results suggest that liana reproduction and abundance are likely to increase under predicted future climate regimes, with potentially important impacts on the survival, growth, and reproduction of resident trees and thus the overall health of Australian tropical rainforests.",09/06/2022,12/02/2025 12:52,12/02/2025 12:52,,,,,5,,,,,,,,,,English,,,,,,,"Place: AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND Publisher: FRONTIERS MEDIA SA Type: Article",,,,flowering; fruiting; ENSO (El Nino Southern Oscillation); forest disturbance; rainforest; woody vines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
