"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"PLERDUJA","journalArticle","2014","Lessard-Therrien, Malie; Bolmgren, Kjell; Davies, T. Jonathan","Predicting flowering phenology in a subarctic plant community","BOTANY","","1916-2790","10.1139/cjb-2014-0026","","Phenological studies are rarely reported from arctic and subarctic regions, but are essential to evaluate species' response to climate change in these rapidly warming ecosystems. Here, we present a phylogenetic analysis of flowering phenology across an elevational gradient in the Canadian subarctic. We found that the timing of first flower was best explained by a combination of snowmelt, elevation, and growing degree-days. We also show that early flowering species have demonstrated lower intraspecific variability in their response to climate cues in comparison with late flowering species, such that individual flowering times of early species are more closely tied to environmental predictors. Previous work has suggested that early flowering species are more variable in their phenology. However, these studies have mostly examined variation in phenology over time, whereas we examined variation in phenology over space. We suggest that both patterns can be explained by the tighter coupling between phenology and climate cues for early flowering species. Thus, early flowering species have low intraspecific variance in flowering times within a single growing season as individuals respond more uniformly to a common set of cues in comparison with late flowering species. However, these same species may show large variance between years reflecting interannual variation in climate.","2014-10","2025-03-06 11:17:00","2025-03-06 11:17:00","","749-756","","10","92","","","","","","","","","","English","","","","","","","Place: 65 AURIGA DR, SUITE 203, OTTAWA, ON K2E 7W6, CANADA Publisher: CANADIAN SCIENCE PUBLISHING, NRC RESEARCH PRESS Type: Article","","","","snowmelt; temperature sum; first flowering day; phylogenetics; variability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IPSPPMAT","journalArticle","2010","Wipf, Sonja","Phenology, growth, and fecundity of eight subarctic tundra species in response to snowmelt manipulations","PLANT ECOLOGY","","1385-0237","10.1007/s11258-009-9653-9","","The snow cover extent is an important factor for the structure and composition of arctic and alpine tundra communities. Over the last few decades, snowmelt in many arctic and alpine regions has advanced, causing the growing season to start earlier and last longer. In a field experiment in subarctic tundra in Interior Alaska, I manipulated the timing of snowmelt and measured the response in mortality, phenology, growth, and reproduction of the eight dominant plant species. I then tested whether the phenological development of these species was controlled by snowmelt date or by temperature (in particular growing degree days, GDD). In order to expand our understanding of plant sensitivity to snowmelt timing, I explored whether the response patterns can be generalized with regard to the temporal niche of each species. Differences in the phenology between treatments were only found for the first stages of the phenological development (=phenophases). The earlier the temporal niche (i.e., the sooner after snowmelt a species develops) the more its phenology was sensitive to snowmelt. Later phenophases were mostly controlled by GDD, especially in late-developing species. In no species did an earlier snowmelt and a longer growing season directly enhance plant fitness or fecundity, in spite of the changes in the timing of plant development. In conclusion, the temporal niche of a species' phenological development could be a predictor of its response to snowmelt timing. However, only the first phenophases were susceptible to changes in snowmelt, and no short-term effects on plant fitness were found.","2010-03","2025-03-06 11:17:01","2025-03-06 11:17:01","","53-66","","1","207","","","","","","","","","","English","","","","","","","Place: VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS Publisher: SPRINGER Type: Article","","","","Phenology; Reproduction; Dwarf shrub heath; Growth; Snow ecology; Winter climate change","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WPHS9UQA","journalArticle","2011","Gimenez-Benavides, Luis; Garcia-Camacho, Raul; Maria Iriondo, Jose; Escudero, Adrian","Selection on flowering time in Mediterranean high-mountain plants under global warming","EVOLUTIONARY ECOLOGY","","0269-7653","10.1007/s10682-010-9440-z","","Under climate warming, plants will undergo novel selective pressures to adjust reproductive timing. Adjustment between reproductive phenology and environment is expected to be higher in arctic and alpine habitats because the growing season is considerably short. As early- and late-flowering species reproduce under very different environmental conditions, selective pressures on flowering phenology and potential effects of climate change are likely to differ between them. However, there is no agreement on the magnitude of the benefits and costs of early- vs. late-flowering species under a global warming scenario. In spite of its relevance, phenotypic selection on flowering phenology has rarely been explored in alpine plants and never in Mediterranean high mountain species, where selective pressures are very different due to the summer drought imposed over the short growth season. We hypothesized that late-flowering plants in Mediterranean mountains should present stronger selective pressures towards early onset of reproduction than early-flowering species, because less water is available in the soil as growing season progresses. We performed selection analyses on flowering onset and duration in two high mountain species of contrasting phenology. Since phenotypic selection can be highly context-dependent, we studied several populations of each species for 2 years, covering their local altitudinal ranges and their different microhabitats. Surrogates of biotic selective agents, like fruitset for pollinators and flower and fruit loss for flower and seed predators, were included in the analysis. Differences between the early- and the late-flowering species were less than expected. A consistent negative correlational selection of flowering onset and duration was found affecting plant fitness, i.e., plants that bloomed earlier flowered for longer periods improving plant fitness. Nevertheless, the late-flowering species may experience higher risks under climate warming because in extremely warm and dry years the earlier season does not bring about a longer flowering duration due to summer drought.","2011-07","2025-03-06 11:17:01","2025-03-06 11:17:01","","777-794","","4","25","","","","","","","","","","English","","","","","","","Place: VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS Publisher: SPRINGER Type: Article","","","","Flowering phenology; Alpine plants; Altitudinal gradients; Phenotypic selection","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UZS4UDAY","journalArticle","2016","Zhu, Juntao; Zhang, Yangjian; Wang, Wenfeng","Interactions between warming and soil moisture increase overlap in reproductive phenology among species in an alpine meadow","BIOLOGY LETTERS","","1744-9561","10.1098/rsbl.2015.0749","","Climate warming strongly influences reproductive phenology of plants in alpine and Arctic ecosystems. Here, we focus on phenological shifts caused by experimental warming in a typical alpine meadow on the Tibetan Plateau. Under soil water stress caused by warming, most plants in the alpine meadow advanced or delayed their reproductive events to be aligned with the timing of peak rainfall. As a result, warming significantly increased the temporal overlap among reproductive stages of early- and late-flowering species. In addition, we found that some species, for example the late-flowering species, were unable to produce flowers and fruits under warming with failed monsoon rains. The potentially warmer- and drier-growing seasons under climate change may similarly shift the phenological patterns and change species composition of these alpine systems.","2016-07","2025-03-06 11:17:01","2025-03-06 11:17:01","","","","7","12","","","","","","","","","","English","","","","","","","Place: 6-9 CARLTON HOUSE TERRACE, LONDON SW1Y 5AG, ENGLAND Publisher: ROYAL SOC Type: Article","","","","reproductive phenology; phenological shifts; experimental warming; alpine meadow; phenological overlap","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZGIMDVIF","journalArticle","2017","Vitasse, Yann; Rebetez, Martine; Filippa, Gianluca; Cremonese, Edoardo; Klein, Geoffrey; Rixen, Christian","`Hearing' alpine plants growing after snowmelt: ultrasonic snow sensors provide long-term series of alpine plant phenology","INTERNATIONAL JOURNAL OF BIOMETEOROLOGY","","0020-7128","10.1007/s00484-016-1216-x","","In alpine environments, the growing season is severely constrained by low temperature and snow. Here, we aim at determining the climatic factors that best explain the interannual variation in spring growth onset of alpine plants, and at examining whether photoperiod might limit their phenological response during exceptionally warm springs and early snowmelts. We analysed 17 years of data (1998-2014) from 35 automatic weather stations located in subalpine and alpine zones ranging from 1560 to 2450 m asl in the Swiss Alps. These stations are equipped with ultrasonic sensors for snow depth measurements that are also able to detect plant growth in spring and summer, giving a unique opportunity to analyse snow and climate effects on alpine plant phenology. Our analysis showed high phenological variation among years, with one exceptionally early and late spring, namely 2011 and 2013. Overall, the timing of snowmelt and the beginning of plant growth were tightly linked irrespective of the elevation of the station. Snowmelt date was the best predictor of plant growth onset with air temperature after snowmelt modulating the plants' development rate. This multiple series of alpine plant phenology suggests that currently alpine plants are directly tracking climate change with no major photoperiod limitation.","2017-02","2025-03-06 11:17:01","2025-03-06 11:17:01","","349-361","","2","61","","","","","","","","","","English","","","","","","","Place: ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES Publisher: SPRINGER Type: Article","","","","Phenology; Photoperiod; Snowmelt; Alpine vegetation; Climate warming; Growth onset; Thermal time; Ultrasonic sensor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3G7JMX98","journalArticle","2020","Kudo, Gaku","Dynamics of flowering phenology of alpine plant communities in response to temperature and snowmelt time: Analysis of a nine-year phenological record collected by citizen volunteers","ENVIRONMENTAL AND EXPERIMENTAL BOTANY","","0098-8472","10.1016/j.envexpbot.2019.103843","","Phenological modification is one of the most serious effects of global warming on ecosystems with clear seasonality, such as alpine ecosystems in mid- to high latitudes. Changes in flowering time and duration in plant communities are likely to influence plant-pollinator interactions. However, the effects of global warming on community-scale phenology have scarcely been studied in alpine ecosystems. I analyzed the flowering records of fellfield and snowbed communities collected over a nine-year period in the Taisetau Mountains of northern Japan. The flowering structure of alpine communities is composed of a flowering sequence of early-blooming fellfield species (FE), late-blooming fellfield species (FL), and snowbed species. Flowering initiation in FE showed small interannual variation, while peak flowering time was accelerated according to warmer temperature. Both the initiation and peak flowering time of FL depended on heat sum during early summer. The flowering period of fellfield communities was shortened under warmer conditions, and 1 degrees C warming thought to shorten the major flowering period by 3.8 days. The flowering initiation of snowbed plants strongly depended on snowmelt time, and the peak flowering time further advanced in warmer summers. However, the major flowering period of snowbed communities was independent of snowmelt time and thermal conditions because many snowbed species shifted flowering onset days with little changes in flowering period. As a result, the total flowering period of alpine plant communities was largely determined by snowmelt time, independent of thermal conditions. It is predicted that a 10-day earlier snowmelt will shorten the total flowering season by 4.8 days and a 10-day later snowmelt will extend the total flowering season by 5.8 days. Therefore, snowmelt regime is a major determinant factor of the flowering structure of alpine ecosystems. Clarification of snowmelt dynamics is crucial to predict the global warming impacts on the phenology of alpine ecosystems.","2020-02","2025-03-06 11:17:01","2025-03-06 11:17:01","","","","SI","170","","","","","","","","","","English","","","","","","","Place: THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND Publisher: PERGAMON-ELSEVIER SCIENCE LTD Type: Article","","","","Flowering phenology; Climate change; Pollination; Temperature; Alpine plants; Snowbed; Snowmelt time","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9WU8CDDA","journalArticle","2015","Briceno, Veronica F.; Hoyle, Gemma L.; Nicotra, Adrienne B.","Seeds at risk: How will a changing alpine climate affect regeneration from seeds in alpine areas?","ALPINE BOTANY","","1664-2201","10.1007/s00035-015-0155-1","","Alpine areas are both regional water reservoirs and zones of high species endemism. Increasing temperatures and earlier snowmelt have already caused upward migration of species, changes in flowering phenology and increasing frost damage in plants. Thus, significant loss of diversity in alpine areas is imminent. Plant migration and distribution shifts occur mainly via seeds, which also provide the genetic diversity required for adaptation. The ability of plants to shift their distribution in response to climate change will depend on seed dispersal, germination and seedling success under new environmental conditions. Despite the critical importance of seeds and seedlings for species adaptation, migration and persistence, the majority of studies concerning climate change in alpine areas have mostly focused on the response of adult plants to warming. Temperature during seed development, as well as the temperature to which seeds are exposed post-dispersal, has been found to have strong effects on seed longevity, germination and seedling survival. Therefore, global change (particularly, warming) is expected to greatly impact regeneration of seeds in alpine areas. Despite evidence that climate change is advancing flowering phenology in several mountain ranges around the world, under natural and artificial warming, the cascade effects that early flowering can have on seeds and seedlings have been poorly studied. Indeed, while a literature search on Web of Science using the search terms “germination”, “alpine plants” and “climate change” revealed 50 studies, of which only 7 directly examined the effect of warming on germination and establishment of seeds of alpine plant species. Here, we discuss the findings of these studies. We identify critical questions regarding seeds and seedlings of alpine species that require urgent research and recommend experimental approaches. Answering these questions will assist in predicting the impacts of global warming and in conservation and management of plants in alpine areas.","2015-10","2025-03-06 11:17:01","2025-03-06 11:17:01","","59-68","","2","125","","","","","","","","","","English","","","","","","","Place: PICASSOPLATZ 4, BASEL, 4052, SWITZERLAND Publisher: SPRINGER BASEL AG Type: Article","","","","Climate change; Alpine areas; Early snowmelt; Germination phenology; Seedlings; Seeds","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"654MQF3V","journalArticle","2023","Chen, Yaya; Collins, Scott L. L.; Zhao, Yunpeng; Zhang, Tianwu; Yang, Xiangrong; An, Hang; Hu, Guorui; Xin, Chunming; Zhou, Juan; Sheng, Xiongjie; He, Mingrui; Zhang, Panhong; Guo, Zengpeng; Zhang, Hui; Li, Lanping; Ma, Miaojun","Warming reduced flowering synchrony and extended community flowering season in an alpine meadow on the Tibetan Plateau","ECOLOGY","","0012-9658","10.1002/ecy.3862","","The timing of phenological events is highly sensitive to climate change, and may influence ecosystem structure and function. Although changes in flowering phenology among species under climate change have been reported widely, how species-specific shifts will affect phenological synchrony and community-level phenology patterns remains unclear. We conducted a manipulative experiment of warming and precipitation addition and reduction to explore how climate change affected flowering phenology at the species and community levels in an alpine meadow on the eastern Tibetan Plateau. We found that warming advanced the first and last flowering times differently and with no consistent shifts in flowering duration among species, resulting in the entire flowering period of species emerging earlier in the growing season. Early-flowering species were more sensitive to warming than mid- and late-flowering species, thereby reducing flowering synchrony among species and extending the community-level flowering season. However, precipitation and its interactions with warming had no significant effects on flowering phenology. Our results suggest that temperature regulates flowering phenology from the species to community levels in this alpine meadow community, yet how species shifted their flowering timing and duration in response to warming varied. This species-level divergence may reshape flowering phenology in this alpine plant community. Decreasing flowering synchrony among species and the extension of community-level flowering seasons under warming may alter future trophic interactions, with cascading consequences to community and ecosystem function.","2023-01","2025-03-06 11:17:01","2025-03-06 11:17:01","","","","1","104","","","","","","","","","","English","","","","","","","Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article","","","","flowering phenology; synchrony; warming; precipitation changes; alpine meadow; functional group","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MAG3Q45X","journalArticle","1997","Alatalo, JM; Totland, O","Response to simulated climatic change in an alpine and subarctic pollen-risk strategist, Silene acaulis","GLOBAL CHANGE BIOLOGY","","1354-1013","10.1111/j.1365-2486.1997.gcb133.x","","The aim of this study was to test if early no overing species respond with increased seed production to climate warming as is predicted for late-flowering seed-risk strategists. Experimental climate warming of about 3 degrees C was applied to two populations of the cushion-forming plant Silene acaulis (L.) Jacq. The experiment was run at one subarctic site and one alpine site for 2 years and 1 year, respectively, using open-top chambers (OTC). The 2-year temperature enhancement at the subarctic site had a marked effect on the flowering phenology. Cushions inside the OTC started flowering substantially earlier than control cushions. Both the male and female phases developed faster in the OTCs, and maturation of capsules occurred earlier. The cushions also responded positively in reproductive terms and produced more mature seeds and had a higher seed/ovule ratio. After 1 year temperature enhancement at the alpine site there was a weak trend for earlier flowering, but there was no significant difference in seed production or seed/ovule ratio.","1997-12","2025-03-06 11:17:01","2025-03-06 11:17:01","","74-79","","1","3","","","","","","","","","","English","","","","","","","Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article","","","","climate change; reproductive biology; alpine; ITEX; Silene acaulis; subarctic","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"958HKBUZ","journalArticle","2017","Panchen, Zoe A.; Gorelick, Root","Prediction of Arctic plant phenological sensitivity to climate change from historical records","ECOLOGY AND EVOLUTION","","2045-7758","10.1002/ece3.2702","","The pace of climate change in the Arctic is dramatic, with temperatures rising at a rate double the global average. The timing of flowering and fruiting (phenology) is often temperature dependent and tends to advance as the climate warms. Herbarium specimens, photographs, and field observations can provide historical phenology records and have been used, on a localised scale, to predict species' phenological sensitivity to climate change. Conducting similar localised studies in the Canadian Arctic, however, poses a challenge where the collection of herbarium specimens, photographs, and field observations have been temporally and spatially sporadic. We used flowering and seed dispersal times of 23 Arctic species from herbarium specimens, photographs, and field observations collected from across the 2.1million km(2) area of Nunavut, Canada, to determine (1) which monthly temperatures influence flowering and seed dispersal times; (2) species' phenological sensitivity to temperature; and (3) whether flowering or seed dispersal times have advanced over the past 120years. We tested this at different spatial scales and compared the sensitivity in different regions of Nunavut. Broadly speaking, this research serves as a proof of concept to assess whether phenology-climate change studies using historic data can be conducted at large spatial scales. Flowering times and seed dispersal time were most strongly correlated with June and July temperatures, respectively. Seed dispersal times have advanced at double the rate of flowering times over the past 120years, reflecting greater late-summer temperature rises in Nunavut. There is great diversity in the flowering time sensitivity to temperature of Arctic plant species, suggesting climate change implications for Arctic ecological communities, including altered community composition, competition, and pollinator interactions. Intraspecific temperature sensitivity and warming trends varied markedly across Nunavut and could result in greater changes in some parts of Nunavut than in others.","2017-03","2025-03-06 11:17:01","2025-03-06 11:17:01","","1325-1338","","5","7","","","","","","","","","","English","","","","","","","Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article","","","","climate change; herbarium specimen; flowering time; Arctic; Nunavut; seed dispersal time; temperature sensitivity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
