taxon,slope,se,temperature,location,latitude
Rhododendron_aureum,-3.9,0.71,may,hokkaido,43.2203
Androsace_septentrionalis,-0.8,1.675,june,nunavut_archipelago,79.8333
Arnica_angustifolia,-2.1,0.534,june,nunavut_mainland,65.4215
Arnica_angustifolia,-2.5,0.871,june,nunavut_archipelago,79.8333
Chamerion_latifolium,-0.9,0.534,june,nunavut_mainland,65.4215
Chamerion_latifolium,-0.3,0.58,june,nunavut_archipelago,79.8333
Diapensia_lapponica,0.3,1.682,june,nunavut_mainland,65.4215
Diapensia_lapponica,-4,1.189,june,nunavut_archipelago,79.8333
Dryas_integrifolia,-0.9,0.534,june,nunavut_mainland,65.4215
Dryas_integrifolia,-2.1,0,june,nunavut_archipelago,79.8333
Erigeron_compositus,-1.8,1.068,june,nunavut_archipelago,79.8333
Erysimum_pallasii,-2.3,0.731,june,nunavut_archipelago,79.8333
Eutrema_edwardsii,0,0,june,nunavut_mainland,65.4215
Eutrema_edwardsii,-3.3,0,june,nunavut_archipelago,79.8333
Pedicularis_arctica,-3.8,0.969,june,nunavut_mainland,65.4215
Pedicularis_arctica,-3.9,0,june,nunavut_archipelago,79.8333
Pedicularis_capitata,-2.6,0.762,june,nunavut_mainland,65.4215
Pedicularis_capitata,-2.1,0.6,june,nunavut_archipelago,79.8333
Pedicularis_flammea,0.7,1.675,june,nunavut_mainland,65.4215
Pedicularis_flammea,-2.2,0.989,june,nunavut_archipelago,79.8333
Pedicularis_hirsuta,-0.7,0.873,june,nunavut_mainland,65.4215
Pedicularis_hirsuta,-2.2,0,june,nunavut_archipelago,79.8333
Pedicularis_lapponica,-2,0.756,june,nunavut_mainland,65.4215
Pedicularis_lapponica,-8.1,0,june,nunavut_archipelago,79.8333
Ranunculus_nivalis,-3.5,0,june,nunavut_archipelago,79.8333
Ranunculus_sulphureus,-1.6,0.564,june,nunavut_archipelago,79.8333
Saxifraga_aizoides,-2.2,1.314,june,nunavut_mainland,65.4215
Saxifraga_aizoides,-2.7,0.955,june,nunavut_archipelago,79.8333
Saxifraga_cernua,-1.7,0.741,june,nunavut_mainland,65.4215
Saxifraga_cernua,-1.8,0.499,june,nunavut_archipelago,79.8333
Saxifraga_cespitosa,-0.8,0.809,june,nunavut_mainland,65.4215
Saxifraga_cespitosa,-1.7,0.45,june,nunavut_archipelago,79.8333
Saxifraga_flagellaris,-2.1,0.611,june,nunavut_archipelago,79.8333
Saxifraga_hirculus,-0.4,0.951,june,nunavut_mainland,65.4215
Saxifraga_hirculus,-2.1,0.699,june,nunavut_archipelago,79.8333
Saxifraga_oppositifolia,-0.5,1.021,june,nunavut_mainland,65.4215
Saxifraga_oppositifolia,-2.8,0,june,nunavut_archipelago,79.8333
Saxifraga_tricuspidata,-1.5,0.724,june,nunavut_mainland,65.4215
Saxifraga_tricuspidata,-2.3,0,june,nunavut_archipelago,79.8333
Tofieldia_pusilla,-1.9,0.572,june,nunavut_mainland,65.4215
Tofieldia_pusilla,-3.6,1.009,june,nunavut_archipelago,79.8333
Achillea_millefolium ,-7.67,1.46,mean_monthly,gothic,38.9583
Aconitum_columbianum ,-5.96,1.12,mean_monthly,gothic,38.9583
Amelanchier_pumila ,-7.19,1.12,mean_monthly,gothic,38.9583
Amerosedum_lanceolatum ,-5.47,0.85,mean_monthly,gothic,38.9583
Androsace_septentrionalis ,-7.9,0.88,mean_monthly,gothic,38.9583
Anticlea_elegans ,-5.21,0.61,mean_monthly,gothic,38.9583
Boechera_stricta ,-6.99,1.01,mean_monthly,gothic,38.9583
Campanula_rotundifolia ,-8,1.03,mean_monthly,gothic,38.9583
Cardamine_cordifolia ,-5.95,1.28,mean_monthly,gothic,38.9583
Castilleja_sulphurea ,-6.5,1.1,mean_monthly,gothic,38.9583
Claytonia_lanceolata ,-7.06,0.85,mean_monthly,gothic,38.9583
Collomia_linearis ,-4.2,1.27,mean_monthly,gothic,38.9583
Delphinium_barbeyi ,-7.62,1.25,mean_monthly,gothic,38.9583
Delphinium_nuttallianum ,-5.63,0.66,mean_monthly,gothic,38.9583
Descurainia_richardsonii ,-7.59,1.12,mean_monthly,gothic,38.9583
Dodecatheon_pulchellum ,-7.4,0.81,mean_monthly,gothic,38.9583
Draba_aurea ,-6.21,0.94,mean_monthly,gothic,38.9583
Erigeron_flagellaris ,-7.95,1.11,mean_monthly,gothic,38.9583
Erigeron_speciosus ,-7.31,0.83,mean_monthly,gothic,38.9583
Eriogonum_subalpinum ,-7.97,0.71,mean_monthly,gothic,38.9583
Eriogonum_umbellatum ,-8.05,1.35,mean_monthly,gothic,38.9583
Erysimum_asperum ,-4.63,0.98,mean_monthly,gothic,38.9583
Erythronium_grandiflorum ,-7,0.72,mean_monthly,gothic,38.9583
Gentiana_parryi,-5.18,0.93,mean_monthly,gothic,38.9583
Geranium_richardsonii ,-6.58,1.32,mean_monthly,gothic,38.9583
Helianthella_quinquenervis ,-1.8,1.69,mean_monthly,gothic,38.9583
Heliomeris_multiflora ,-5.93,1.01,mean_monthly,gothic,38.9583
Heracleum_maximum ,-7.5,0.87,mean_monthly,gothic,38.9583
Heterotheca_villosa ,-6.2,0.7,mean_monthly,gothic,38.9583
Hydrophyllum_fendleri ,-8.61,0.77,mean_monthly,gothic,38.9583
Lathyrus_leucanthus ,-6.88,0.8,mean_monthly,gothic,38.9583
Ligularia_bigelovii ,-6.17,0.8,mean_monthly,gothic,38.9583
Ligusticum_porteri ,-6.67,0.86,mean_monthly,gothic,38.9583
Mahonia_repens ,-5.61,0.76,mean_monthly,gothic,38.9583
Mertensia_ciliata ,-6.86,0.78,mean_monthly,gothic,38.9583
Mertensia_fusiformis ,-6.38,0.73,mean_monthly,gothic,38.9583
Potentilla_gracilis_v_pulcherrima ,1.5,0.58,mean_monthly,gothic,38.9583
Potentilla_hippiana,1.3,0.17,mean_monthly,gothic,38.9583
Taraxacum_officinale ,0.83,0.1,mean_monthly,gothic,38.9583
Cassiope_tetragona,-1.86,1.08,mean_monthly,zackenberg,74.467
Dryas_octopetala,-1.87,0.97,mean_monthly,zackenberg,74.467
Salix_arctica,-3.63,1.61,mean_monthly,zackenberg,74.467
Saxifraga_appositifolia ,-1.46,0.8,mean_monthly,zackenberg,74.467
Silene_acaulis ,-3.94,1.19,mean_monthly,zackenberg,74.467
Papaver_radicatum,-4.18,2.26,mean_monthly,zackenberg,74.467
