Key,Item.Type,Publication.Year,Author,Title,Publication.Title,ISBN,ISSN,DOI,Url,Abstract.Note,Date,Date.Added,Date.Modified,Access.Date,Pages,Num.Pages,Issue,Volume,Number.Of.Volumes,Journal.Abbreviation,Short.Title,Series,Series.Number,Series.Text,Series.Title,Publisher,Place,Language,Rights,Type,Archive,Archive.Location,Library.Catalog,Call.Number,Extra,Notes,File.Attachments,Link.Attachments,Manual.Tags,Automatic.Tags,Editor,Series.Editor,Translator,Contributor,Attorney.Agent,Book.Author,Cast.Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed.Author,Scriptwriter,Words.By,Guest,Number,Edition,Running.Time,Scale,Medium,Artwork.Size,Filing.Date,Application.Number,Assignee,Issuing.Authority,Country,Meeting.Name,Conference.Name,Court,References,Reporter,Legal.Status,Priority.Numbers,Programming.Language,Version,System,Code,Code.Number,Section,Session,Committee,History,Legislative.Body
482EVXTS,journalArticle,2005,"Singh, KP; Kushwaha, CP",Emerging paradigms of tree phenology in dry tropics,CURRENT SCIENCE,,0011-3891,,,"The tropical dry forests constitute a mosaic composed of several phenological functional types adapted to seasonal drought in different ways. Various functional types differ with respect to phenological timing and triggering factors, water relations, extent of deciduousness (similar to leaflessness), etc. Duration of deciduousness in tropical trees (reflecting integrated effect of seasonal drought, tree characteristics and soil moisture conditions) is related to leafing patterns and resource use rates. Vegetative and flowering phenology of trees in dry tropics is primarily affected by the periodicity of rainfall and soil water availability. Occurrence of leaf-flushing as well as flowering during summer in majority of Indian tropical trees, when drought is severe, seems to be a unique adaptation to survive under strongly seasonal climate having a short growth promoting wet period and a long growth constraining dry period. The key phenological themes that need research focus in the dry tropics are: duration of deciduousness, timing of vegetative bud break, leaf strategy, water relations, seasonal flowering types and asynchrony. Analysis of functional types based on the duration of deciduousness and timing of bud break may enable better assessment of future climate change impact. There is a need for long-term quantitative documentation of tree phenological patterns in India through a phenological station network in diverse climatie/vegetational zones.",25/09/2005,02/03/2025 20:24,02/03/2025 20:24,,964-975,,6,89,,,,,,,,,,English,,,,,,,"Place: C V RAMAN AVENUE, SADASHIVANAGAR, P B #8005, BANGALORE 560 080, INDIA Publisher: INDIAN ACAD SCIENCES Type: Review",,,,climate change; deciduousness; flowering types; functional types; quantitative phenology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MJ9KIBBW,journalArticle,2023,"Park, Daniel S.; Lyra, Goia M.; Ellison, Aaron M.; Maruyama, Rogerio Katsuhito Barbosa; Torquato, Debora dos Reis; Asprino, Renata C.; Cook, Benjamin I.; Davis, Charles C.",Herbarium records provide reliable phenology estimates in the understudied tropics,JOURNAL OF ECOLOGY,,0022-0477,10.1111/1365-2745.14047,,"Plant phenology has been shifting dramatically in response to climate change, a shift that may have significant and widespread ecological consequences. Of particular concern are tropical biomes, which represent the most biodiverse and imperilled regions of the world. However, compared to temperate floras, we know little about phenological responses of tropical plants because long-term observational datasets from the tropics are sparse. Herbarium specimens have greatly increased our phenological knowledge in temperate regions, but similar data have been underutilized in the tropics and their suitability for this purpose has not been broadly validated. Here, we compare phenological estimates derived from field observational data (i.e. plot surveys) and herbarium specimens at various spatial and taxonomic scales to determine whether specimens can provide accurate estimations of reproductive timing and its spatial variation. Here, we demonstrate that phenological estimates from field observations and herbarium specimens coincide well. Fewer than 5% of the species exhibited significant differences between flowering periods inferred from field observations versus specimens regardless of spatial aggregation. In contrast to studies based on field records, herbarium specimens sampled much larger geographic and climatic ranges, as has been documented previously for temperate plants, and effectively captured phenological responses across varied environments. Synthesis. Herbarium specimens are verified to be a vital resource for closing the gap in our phenological knowledge of tropical systems. Tropical plant reproductive phenology inferred from herbarium records is widely congruent with field observations, suggesting that they can and should be used to investigate phenological variation and their associated environmental cues more broadly across tropical biomes.",2023-02,02/03/2025 20:24,02/03/2025 20:24,,327-337,,2,111,,,,,,,,,,English,,,,,,,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",,,,phenology; Brazil; climate; herbaria; citizen science; field survey; natural history collections; neotropics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJH9TPRR,journalArticle,2024,"Sullivan, Megan K.; Fayolle, Adeline; Bush, Emma; Ofosu-Bamfo, Bismark; Vleminckx, Jason; Metz, Margaret R.; Queenborough, Simon A.",Cascading effects of climate change: new advances in drivers and shifts of tropical reproductive phenology,PLANT ECOLOGY,,1385-0237,10.1007/s11258-023-01377-3,,"Tropical forests were long viewed as relatively stable systems, with little biologically important variation in climate. However, in recent years, accumulating evidence has suggested that tropical forests vary widely both in climate and phenology, that climate and phenology are inextricably linked, and that tropical forests increasingly display the effects of climate change. It is critically important to understand these climate-phenology interactions to be able to predict the cascading impacts on resource availability that will affect wildlife. There are many important and unanswered questions regarding how the mechanistic drivers and proximate cues of tropical forest reproductive phenology will vary in response to environmental change. Addressing these questions remains a huge challenge due to a paucity of long-term comparable data that hampers our ability to connect observed phenology patterns with fundamental theory. In this review, we highlight ten focal papers that have advanced our ability to identify phenological patterns, improved our understanding of the drivers of flowering and fruiting, and have innovatively linked fruiting patterns with impacts on wildlife diet, reproduction, and survival. We end with a call for increased collaboration among forest and wildlife ecologists, theoretical ecologists, meteorologists, and decision-makers to advance and apply phenological research in the tropics and reduce the negative impact of climate change on vital ecological functions, and services, of tropical forest ecosystems.",2024-03,02/03/2025 20:24,02/03/2025 20:24,,175-187,,3,225,,,,,,,,,,English,,,,,,,"Place: VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS Publisher: SPRINGER Type: Article",,,,Climate change; Phenology; Cue; Driver; Forest function; Tropical forests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LJC8MI57,journalArticle,2017,"Chen, Xiaoqiu; Wang, Lingxiao; Inouye, David",Delayed response of spring phenology to global warming in subtropics and tropics,AGRICULTURAL AND FOREST METEOROLOGY,,0168-1923,10.1016/j.agrformet.2017.01.002,,"Climate drivers of plant phenology in the subtropics and tropics are still unclear, which significantly hinders accurate prediction of climate change impacts on vegetation growth and carbon balance in these unique ecoregions. The basic hypothesis of process-based phenology models is that spring tree phenology is regulated by temperature and triggered by chilling temperatures during the dormancy period, followed by forcing temperatures during the growth period. That is, trees require cool temperatures during a chilling period to break endodormancy, and then enter the phase of ecodormancy during which the rate of ontogenetic development increases with increasing air temperature. Therefore, insufficient chilling requirements may slow bud growth and consequently delay budburst. Many studies have shown that chilling requirement is at present sufficient to release bud dormancy fully in temperate regions, and thus forcing temperatures play a dominant role in triggering spring tree phenology. To identify differences in mechanisms of spring tree phenology responses to air temperature between the subtropics/tropics and the temperate zone, and their possible effects on future phenological trends under global warming, we used leaf unfolding and flowering data from a tree species of tropical origin, Melia azedarach, and output daily mean air temperature data from a regional climate model (HadGEM3-RA) for the period 1981-2005 at 42 stations in southeastern China to fit unified forcing and chilling phenology models. Then, we selected optimum models for each phenophase at each station. Moreover, we predicted leafing and flowering dates across the research region over 2021-2100 under global climate warming scenarios. The results show a previously unreported phenological phenomenon: chilling will often be insufficient to break bud dormancy in the northern tropical zone and may become a crucial factor limiting leafing and flowering responses to spring warming. However, chilling will still be sufficient to break bud dormancy in the warm temperate zone, and thus may not limit leafing and flowering responses to spring warming there. Consequently, predicted leafing and flowering dates both will be delayed in the northern tropical zone but will advance in the warm temperate zone from 2021 to 2100. In the subtropical zone, the effect of chilling temperature on spring phenology will be reduced gradually from earlier to later phenophases. Thus, predicted leafing and flowering dates show decreased delaying trends and increased advancing trends from earlier to later phenophases in the subtropical zone. Our findings suggest that insufficient chilling temperature accumulation during the dormancy period may counteract the forcing temperature accumulation during the growth period in the northern tropical zone and parts of the subtropical zone, resulting in delayed leafing and flowering dates. (C) 2017 Elsevier B.V. All rights reserved.",15/03/2017,02/03/2025 20:24,02/03/2025 20:24,,222-235,,,234,,,,,,,,,,English,,,,,,,"Place: RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS Publisher: ELSEVIER Type: Article",,,,Chilling and forcing requirement; Global warming; Leafing and flowering; Process-based phenology model; Spatiotemporal prediction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y9X8YZWS,journalArticle,2020,"Du, Yanjun; Li, Danfeng; Yang, Xiaobo; Peng, Danxiao; Tang, Xinran; Liu, Hui; Li, Donghai; Hong, Xiaojiang; Song, Xiqiang",Reproductive phenology and its drivers in a tropical rainforest national park in China: Implications for Hainan gibbon (<i>Nomascus hainanus</i>) conservation,GLOBAL ECOLOGY AND CONSERVATION,,,10.1016/j.gecco.2020.e01317,,"Reproductive plant phenology, such as the seasonal timing of flowering or fruiting, influences many aspects of tropical forest communities, but there are few studies examining potential drivers of phenological patterns, especially in south China. We explored phenological patterns in Hainan Tropical Rainforest National Park (HNNP) in China and their major climatic and biotic drivers, based on phenological and distribution data for >2000 species from the Flora of Hainan. Specifically, we address the following questions: (1) What are the phenological patterns for all species in HNNP and for Hainan gibbon food plants only? (2) What are the environmental drivers of reproductive phenology? (3) Whether the flowering and fruiting dates are phylogenetic conserved? (4) Does reproductive phenology vary with functional groups, like growth forms, pollination modes and fruit types? Our results show flowering peaks in late spring and early summer, while fruiting phenology was concentrated during late summer and fall. Closely related species tend to have similar flowering and fruiting dates. The number of flowering species was primary controlled by mean maximum monthly temperature while minimum monthly temperature was the most important variable in shaping fruiting patterns of all species. For fruiting of gibbon food plants, mean monthly precipitation was the most important variable. Our study found January to May was food shortage period, which has important implications for Hainan gibbon conservation. We should take targeted ecological restoration by planting gibbon food species with phenologies between January and May, and take targeted provisioning to attract gibbons into a new habitat by providing fruits between January and May. (C) 2020 The Author(s). Published by Elsevier B.V.",2020-12,02/03/2025 20:24,02/03/2025 20:24,,,,,24,,,,,,,,,,English,,,,,,,"Place: RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS Publisher: ELSEVIER Type: Article",,,,Ecological restoration; Flora of Hainan; Flowering phenology; Fruiting phenology; Hainan tropical rainforest national park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5RDX3WFN,journalArticle,2012,"Boyle, W. Alice; Bronstein, Judith L.",Phenology of tropical understory trees: patterns and correlates,REVISTA DE BIOLOGIA TROPICAL,,0034-7744,,,"Reproductive phenologies of plants are constrained by climate in highly seasonal regions. In contrast, plants growing in wet tropical forests are freed from many abiotic constraints, which in canopy tree communities lead to a rich diversity of phenological patterns within and among individuals, species and communities. However, basic descriptions of tropical phenological patterns and the processes that shape them are rare. Here, we document the individual-, population-, and landscape-level phenological patterns of two dominant families of understory woody plants important to avian frugivores, the Melastomataceae and Rubiaceae, along an elevational transect in Costa Rica. The 226 individual plants belonging to 35 species in this study, varied in the number of reproductive bouts/year, and the timing, duration, and synchrony of reproductive stages. This variation was not related to factors related to their interactions with mutualists and antagonists, nor did it appear to be constrained by phylogeny. Diverse phenological patterns among species led to relatively aseasonal patterns at the community and landscape level. Overall, evidence for biotic processes shaping temporal patterns of fruiting phenology was weak or absent. These findings reveal a number of unexplained patterns, and suggest that factors shaping phenology in relatively aseasonal forests operate in idiosyncratic ways at the species level. Rev. Biol. Trop. 60 (4): 1415-1430. Epub 2012 December 01.",2012-12,02/03/2025 20:24,02/03/2025 20:24,,1415-1430,,4,60,,,,,,,,,,English,,,,,,,"Place: UNIVERSIDAD DE COSTA RICA CIUDAD UNIVERSITARIA, SAN JOSE, 00000, COSTA RICA Publisher: REVISTA DE BIOLOGIA TROPICAL Type: Article",,,,Costa Rica; climate; frugivory; fruit pathogens; phenological patterns; seed dispersal mutualisms; tropical wet forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47TXTN6Z,journalArticle,2005,"García, EG; Di Stefano, JF",Phenology of the tree <i>Sideroxylon capiri</i> (Sapotaceae) at the tropical dry forest in Costa Rica.,REVISTA DE BIOLOGIA TROPICAL,,0034-7744,,,"Phenology of the tree Sideroxylon capiri (Sapotaceae) at the tropical dry forest in Costa Rica. From March 1996 until February 2000, an Study about the phenology of the Tempisque tree [Sideroxylon capiri (A. DC.) Pittier] was made in the Tropical Dry Forest of the Barra Honda National Park (Costa Rica). Ten trees were choosen at random and their phenology was evaluated monthly during the first two years and every two months afterwards. Climatological data were also collected in situ. Trees change their foliage each year during the rainy season or at the beginning of the dry season. In contrast with other native species in forest, soil water deficit is not responsible for foliage change in S. capiri. Sonic elements that affect the process are photoperiod and herbivores. Unknown physiological mechanisms allow the tree to maintain foliage during the driest months (March and April). Flowering and fruiting may occur every year and in any season, but mostly in the dry season, with variability both among seasons and among individuals.",2005-06,02/03/2025 20:24,02/03/2025 20:24,,May-14,,01-Feb,53,,,,,,,,,,Spanish,,,,,,,"Place: UNIVERSIDAD DE COSTA RICA CIUDAD UNIVERSITARIA, SAN JOSE, 00000, COSTA RICA Publisher: REVISTA DE BIOLOGIA TROPICAL Type: Article",,,,phenology; tropical dry forest; Barra Honda National Park; Sideroxylon capiri; tempisque tree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Z8L2H3WF,journalArticle,2019,"Wright, S. Joseph; Calderon, Osvaldo; Muller-Landau, Helene C.",A phenology model for tropical species that flower multiple times each year,ECOLOGICAL RESEARCH,,0912-3814,10.1111/1440-1703.1017,,"Phenology models developed for temperate and boreal plants predict a single, population-level first flowering date for each year. These models cannot accommodate species that flower multiple times each year in humid tropical forests nor flowering data with census-interval rather than daily temporal resolution. Here, we present a new model framework able to predict the timing of multiple annual flowering events from census data. We extend a recent model, which predicted tropical flowering probabilities as discrete events occurring on census dates, by integrating predicted flowering probabilities over all dates between censuses. We evaluate our model against 29 years of daily climate and weekly flowering records for Hybanthus prunifolius (Violaceae) and Handroanthus guayacan (Bignoniaceae) from Barro Colorado Island, Panama. Previous experiments demonstrate that both species flower shortly after a heavy, dry-season rain interrupts an extended dry period. Our model captures this sequence of rainfall events. Best-fit model parameters are consistent with previous experimental results. This match suggests the new model framework will provide novel insights for other humid tropical forest species.",2019-01,02/03/2025 20:24,02/03/2025 20:24,,20-29,,1,34,,,,,,,,,,English,,,,,,,"Place: 111 RIVER ST, HOBOKEN 07030-5774, NJ USA Publisher: WILEY Type: Article",,,,Barro Colorado Island; drought; proximate cue; rain flower; tropical forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GQ6FDE2Y,journalArticle,2023,"Vogado, Nara; Laurance, Susan G.; Liddell, Michael J.; Engert, Jayden E.; Wurster, Christopher M.; Schiffer, Michele; Thompson, Andrew; Nichols, Cassandra; Cernusak, Lucas A.",Assessing the effects of a drought experiment on the reproductive phenology and ecophysiology of a wet tropical rainforest community,CONSERVATION PHYSIOLOGY,,2051-1434,10.1093/conphys/coad064,,"In this study we assessed the effects of an experimental drought on the reproductive phenology and ecophysiology of a rainforest tree community in the Wet Tropics of Queensland. We found that, although the drought increased fruiting activity in the community relative to the reference plot, species-level response was varied in both phenology and physiology. Climate change is expected to increase the intensity and occurrence of drought in tropical regions, potentially affecting the phenology and physiology of tree species. Phenological activity may respond to a drying and warming environment by advancing reproductive timing and/or diminishing the production of flowers and fruits. These changes have the potential to disrupt important ecological processes, with potentially wide-ranging effects on tropical forest function. Here, we analysed the monthly flowering and fruiting phenology of a tree community (337 individuals from 30 species) over 7 years in a lowland tropical rainforest in northeastern Australia and its response to a throughfall exclusion drought experiment (TFE) that was carried out from 2016 to 2018 (3 years), excluding approximately 30% of rainfall. We further examined the ecophysiological effects of the TFE on the elemental (C:N) and stable isotope (& delta;13C and & delta;15N) composition of leaves, and on the stable isotope composition (& delta;13C and & delta;18O) of stem wood of four tree species. At the community level, there was no detectable effect of the TFE on flowering activity overall, but there was a significant effect recorded on fruiting and varying responses from the selected species. The reproductive phenology and physiology of the four species examined in detail were largely resistant to impacts of the TFE treatment. One canopy species in the TFE significantly increased in fruiting and flowering activity, whereas one understory species decreased significantly in both. There was a significant interaction between the TFE treatment and season on leaf C:N for two species. Stable isotope responses were also variable among species, indicating species-specific responses to the TFE. Thus, we did not observe consistent patterns in physiological and phenological changes in the tree community within the 3 years of TFE treatment examined in this study.",01/01/2023,02/03/2025 20:24,02/03/2025 20:24,,,,1,11,,,,,,,,,,English,,,,,,,"Place: GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND Publisher: OXFORD UNIV PRESS Type: Article",,,,flowering; drought; Climate change; fruiting; stable isotopes; water use efficiency; Wet Tropics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YG6A9NFX,journalArticle,2006,"Singh, KP; Kushwaha, CP",Diversity of flowering and fruiting phenology of trees in a tropical deciduous forest in India,ANNALS OF BOTANY,,0305-7364,10.1093/aob/mcj028,,"Background and Aims In the dry tropics, vegetative phenology varies widely with tree characteristics and soil conditions. The present work aims to document the phenological diversity of flowering and fruiting with reference to leafing events in Indian dry-tropical tree species. Methods Nine tree species, including one leaf-exchanging and eight deciduous showing varying leafless periods, were studied. Monthly counts of leaves, flowers and fruits were made on 160 tagged twigs on ten individuals of each species for initiation, completion and duration of different phenological events through two annual cycles. Key Results Variation in flowering relative to leaf flushing (which occurred just prior to or during a hot, dry summer) revealed five flowering types: summer flowering (on foliated shoots), rainy-season flowering (on foliated shoots following significant rains), autumn flowering (on shoots with mature leaves), winter flowering (on shoots undergoing leaf fall) and dry-season flowering (on leafless shoots). Duration of the fruiting phenophase was shortest (3-4 months) in dry-season and winter-flowering species, 6-9 months in rainy-and autumn-flowering species, and maximum (11 months) in summer-flowering species. A wide range of time lag (< 1 to > 8 months) between the start of vegetative (first-leaf flush) and reproductive (first-visible flower) phases was recorded in deciduous species; this time lag was correlated with the extent of the leafless period. A synthesis of available phenological information on 119 Indian tropical trees showed that summer-flowering species were most abundant (56% of total species) amongst the five types recognized. Conclusions The wide diversity of seasonal flowering and fruiting with linkages to leaf flush time and leafless period reflect the fact that variable reproductive and survival strategies evolved in tree species under a monsoonic bioclimate. Flowering periodicity has evolved as an adaptation to an annual leafless period and the time required for the fruit to develop. The direct relationship between leafless period (inverse of growing period) and time lag between onset of vegetative and reproductive phases reflects the partitioning of resource use for supporting these phases. Predominance of summer flowering coupled with summer leaf flushing seems to be a unique adaptation in trees to survive under a strongly seasonal tropical climate.",2006-02,02/03/2025 20:24,02/03/2025 20:24,,265-276,,2,97,,,,,,,,,,English,,,,,,,"Place: GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND Publisher: OXFORD UNIV PRESS Type: Article",,,,flowering types; fruiting; tropical tree phenology; asynchrony; leafless period; semi-evergreen species; summer flowering; summer leaf flushing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
